XFOIL & experimental polar
Polar key
Airfoil,n4412
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xt
-33.37, -0.8083347334602929, 0.5656155178367066, 0, 0, 0, 0
-29.96, -0.789221126796986, 0.48613933263570985, 0, 0, 0, 0
-26.549999999999997, -0.7372776307254514, 0.39363507961686306, 0, 0, 0, 0
-23.139999999999997, -0.6817722301541411, 0.3115461791894264, 0, 0, 0, 0
-19.73, -0.6248654709137733, 0.2399181151318061, 0, 0, 0, 0
-16.32, -0.5700849340330755, 0.17885922290857542, 0, 0, 0, 0
-12.909999999999998, -0.5240092831351097, 0.12848131153675785, 0, 0, 0, 0
-9.5, -0.4158786642875714, 0.11596440105816376, 0, 0, 0, 0
-9.25, -0.41904669569480174, 0.11202430819999953, 0, 0, 0, 0
-9.0, -0.4243582913579467, 0.10810143824338223, 0, 0, 0, 0
-8.75, -0.4328386341820092, 0.10415703356536742, 0, 0, 0, 0
-8.5, -0.4455129070719918, 0.1002137336616808, 0, 0, 0, 0
-8.25, -0.4621947131360759, 0.09602941270018009, 0, 0, 0, 0
-8.0, -0.4771057487278826, 0.09076982146801837, 0, 0, 0, 0
-7.75, -0.49453314235924134, 0.08386158490717666, 0, 0, 0, 0
-7.499999999999999, -0.5136381080169681, 0.07463281383348162, 0, 0, 0, 0
-7.25, -0.5188565052342038, 0.06842026155805916, 0, 0, 0, 0
-7.0, -0.5126114936045911, 0.06545615640661202, 0, 0, 0, 0
-6.75, -0.504875306840429, 0.0626528510237688, 0, 0, 0, 0
-6.500000000000001, -0.49676632629262957, 0.058919431662488704, 0, 0, 0, 0
-6.25, -0.4862341861511874, 0.054480278686978696, 0, 0, 0, 0
-6.0, -0.4573419521656059, 0.04908806684054022, 0, 0, 0, 0
-5.75, -0.42425578811410436, 0.04434337358857737, 0, 0, 0, 0
-5.499999999999999, -0.3896784489280533, 0.04246883591897457, 0, 0, 0, 0
-5.25, -0.35603309420109575, 0.04060508246923619, 0, 0, 0, 0
-5.0, -0.3194985876509487, 0.03834152892477697, 0, 0, 0, 0
-4.75, -0.28557363758626303, 0.037032984239250555, 0, 0, 0, 0
-4.5, -0.24987791704929999, 0.03587618221675918, 0, 0, 0, 0
-4.25, -0.215580173200977, 0.034794033070535225, 0, 0, 0, 0
-4.0, -0.17979125421810463, 0.03391831777848073, 0, 0, 0, 0
-3.7499999999999996, -0.1466118917206937, 0.033231601285920905, 0, 0, 0, 0
-3.5, -0.11175495719691468, 0.03259357132273687, 0, 0, 0, 0
-3.2500000000000004, -0.0784823962535944, 0.032020205755066894, 0, 0, 0, 0
-3.0, -0.044091453959362086, 0.031537294440098285, 0, 0, 0, 0
-2.7499999999999996, -0.010539297678313788, 0.031069602866132622, 0, 0, 0, 0
-2.5, 0.022919660156825165, 0.030626913035680232, 0, 0, 0, 0
